OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2979,W0440,Garnet Wind Energy Center,0,See WPRS for details,Riverside,6.5,WPRS 1,WND,6/2/2009 0:00,0,-116.5823767,33.90752136
2980,W0447,San Gorgonio Wind,0,See WPRS for details,Riverside,49.5,WPRS 1,WND,12/31/1989 0:00,0,-116.55065,33.9167142
2984,W0478,"Painted Hills Wind Holdings, LLC",0,"Terra-Gen, LLC",Riverside,46.8,WPRS 1,WND,3/17/2021 0:00,0,-116.5436661,33.90788207
2985,W0479,"Coachella Wind Holdings, LLC",0,"Terra-Gen, LLC",Riverside,61.2,WPRS 1,WND,3/31/2021 0:00,0,-116.5436661,33.90788207
2986,S0367,Palm Springs SD - Rancho Mirage HS,0,EDP Renewables North America LLC,Riverside,1,1,SUN,8/28/2013 0:00,0,-116.4336691,33.82361039
2987,S0256,Desert Sunlight 250,0,Desert Sunlight 250 LLC,Riverside,115.92,DSL250,SUN,12/25/2013 0:00,0,-115.4035448,33.81144535
2988,S0257,Desert Sunlight 300,0,Desert Sunlight 300 LLC,Riverside,192.77,DSL300,SUN,10/15/2013 0:00,0,-115.4048899,33.82432489
2992,H0193,Franklin,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,2,Unit 1,WAT,6/3/1921 0:00,0,-118.4137914,34.1039956
2993,H0466,San Gorgonio 2,0,Southern California Edison (SCE),Riverside,0.94,1,WAT,12/1/1923 0:00,0,-118.4252964,34.00887844
2994,H0467,Sawtelle,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,1,1,WAT,6/1/1986 0:00,0,-118.4672867,34.07183973
2995,H0472,Sepulveda Canyon,0,Metropolitan Water District,Los Angeles,8.54,1,WAT,3/1/1982 0:00,0,-118.4798172,34.09697329
2998,H0541,Venice,0,Metropolitan Water District,Los Angeles,10.12,1,WAT,5/1/1982 0:00,0,-118.416808,34.01130744
2999,S9154,West Los Angeles VA Health Care System,0,Not Available,Los Angeles,9,1,SUN,1/1/2012 0:00,0,-118.4504777,34.05152521
3000,S9157,CBS Television City,0,Not Available,Los Angeles,1.84,1,SUN,1/1/2013 0:00,0,-118.3596778,34.07479491
3004,S0183,LA County MTA/Metro,0,LA County MTA/Metro,Los Angeles,1.05,SIP742152,SUN,4/1/2009 0:00,0,-118.2292067,34.05851472
3005,S0184,Dependable Highway Express,0,Dependable Highway Express Inc,Los Angeles,1.05,SIP1027942,SUN,3/2/2012 0:00,0,-118.2240333,34.02761894
3006,S0369,ELACC - Parking Lot,0,Not Available,Los Angeles,1,1,SUN,3/27/2008 0:00,0,-118.1480905,34.04025591
3007,S9114,MTA,0,Not Available,Los Angeles,1.2,1,SUN,1/1/2012 0:00,0,-118.2294018,34.05720947
3008,S9116,Dependable Highway Express Inc,0,Not Available,,1.2,1,SUN,1/1/2012 0:00,0,-118.2239588,34.02689715
