OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y,temperature,wind_speed,water_flow,cloud_cover,estimated_output
1956,S0341,North Star Solar,0,North Star Solar LLC,Fresno,61.6,NSS1,SUN,6/19/2015 0:00,0.0,-120.4176278,36.73024322,5.37,2.8,0.0,11,9.88860488
1957,S0423,Citizen Solar B,0,S-Power (Sustainable Power Group),Fresno,5.0,Unit 1,SUN,11/24/2015 0:00,0.0,-120.4297798,36.72189259,5.37,2.8,0.0,11,0.8026465
1958,S0121,CalRENEW-1,0,Meridian Energy USA Inc,Fresno,5.0,CR1,SUN,4/9/2010 0:00,0.0,-120.3658769,36.76047364,5.4,3.02,0.0,8,0.82984
1961,S0703,Little Bear Solar 1,0,Longroad Energy,Fresno,40.0,Unit 1,SUN,12/16/2020 0:00,0.0,-120.3994423,36.71717755,5.39,2.91,0.0,10,6.49404
1962,S0704,Little Bear Solar 3,0,Longroad Energy,Fresno,20.0,Unit 1,SUN,12/14/2020 0:00,0.0,-120.3929664,36.71654785,5.39,2.91,0.0,10,3.24702
1963,S0705,Little Bear Solar 4,0,Longroad Energy,Fresno,50.0,Unit 1,SUN,12/14/2020 0:00,0.0,-120.4100694,36.71724497,5.39,2.91,0.0,10,8.117550000000001
1964,S0706,Little Bear Solar 5,0,Longroad Energy,Fresno,50.0,Unit 1,SUN,12/16/2020 0:00,0.0,-120.4000314,36.71152211,5.4,2.88,0.0,10,8.118
1965,S0179,La Joya Del Sol,0,X-Elio North America Inc.,Fresno,1.5,1,SUN,10/31/2012 0:00,0.0,-119.7975231,36.67853392,5.88,1.54,0.0,40,0.16279200000000002
1966,S0658,Clovis USD High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,6/14/2018 0:00,0.0,-119.6803967,36.81625535,4.98,1.54,0.0,40,0.10906788
1967,S9014,Grundfos Pumps,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.6883561,36.77643502,5.23,1.54,0.0,40,0.108138
1968,S9020,The Gap Inc,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.7132087,36.7837357,5.28,1.54,0.0,40,0.108168
1969,S9026,CA State University Fresno,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.741645,36.81015758,5.25,1.54,0.0,40,0.10815000000000001
1970,S9056,E&J Gallo Winery,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.6978551,36.7638769,5.33,1.54,0.0,40,0.10819799999999999
1971,S9126,Olam West Coast,0,Not Available,Fresno,1.4,1,SUN,1/1/2012 0:00,0.0,-119.8462202,36.83863512,5.2,1.54,0.0,40,0.151368
1972,S9143,Wawona Frozen Foods / Alluvial Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 0:00,0.0,-119.7116396,36.83912036,4.94,1.54,0.0,40,0.23752080000000003
1973,S9144,Wawona Frozen Foods / Cedar Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 0:00,0.0,-119.7534191,36.71559839,5.6,1.54,0.0,40,0.23839200000000002
1974,S9145,City of Fresno - Fresno Yosemite Airport,0,Not Available,Fresno,2.3,1,SUN,1/1/2012 0:00,0.0,-119.7100647,36.7676541,5.37,1.54,0.0,40,0.24891059999999998
1978,S0632,Sanger USD Sanger High School,0,Tesla Inc.,Fresno,1.07,9366485-CA,SUN,1/27/2017 0:00,0.0,-119.5768756,36.70012759,4.78,1.54,0.0,0,0.19236460000000002
1979,S0659,Clovis USD East High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,4/15/2018 0:00,0.0,-119.6377839,36.79862682,4.92,1.54,0.0,40,0.10903151999999999
1981,H0387,Pine Flat,0,Kings River Conservation District,Fresno,165.0,"Unit 1, Unit 2, Unit 3",WAT,1/1/1984 0:00,0.0,-119.3273736,36.83250995,3.23,2.4,0.0,20,0.0
1982,S9124,City of Santa Cruz Wastewater Treatment Plant,0,Not Available,Santa Cruz,1.3,1,SUN,1/1/2012 0:00,0.0,-122.0308061,36.96173369,5.62,1.34,0.0,92,0.018784479999999992
1990,W0354,International Turbine Research Inc.,0,International Turbine Research,Merced,18.43,WPRS 1,WND,6/14/1988 0:00,0.0,-121.1807197,37.05178739,3.7,1.88,0.0,39,1.6279446399999997
1991,S0691,Wright Solar,0,Clenera - Renewable Energy,Merced,200.0,W8785,SUN,1/3/2020 0:00,0.0,-121.0902446,36.97454039,5.66,2.24,0.0,35,23.4858
1992,S0337,Vega Solar,0,Longroad Energy,Merced,20.0,1,SUN,3/24/2015 0:00,0.0,-120.8057779,36.92846232,6.53,2.23,0.0,25,2.72295
1993,S9046,Almond Process Parreira,0,Not Available,Merced,1.0,1,SUN,1/1/2012 0:00,0.0,-120.8709897,36.979871,6.48,2.22,0.0,20,0.145184
1994,S0586,CED Oro Loma 1 & 2,0,RWE Clean Energy,Fresno,20.0,Unit 1,SUN,1/26/2017 0:00,0.0,-120.6695103,36.87851814,6.52,2.26,0.0,20,2.9043200000000002
1995,S9048,City of Madera,0,Not Available,Madera,1.0,1,SUN,1/1/2012 0:00,0.0,-120.1567313,36.94075936,4.44,1.54,0.0,100,0.0
1996,S9059,Madera Community Hospital,0,Not Available,Madera,1.0,1,SUN,1/1/2012 0:00,0.0,-120.0461937,36.94137351,4.56,1.54,0.0,100,0.0
1997,H0198,Friant-Kern Hydro Facility (River Outlet  Madera Canal  F-K),0,Friant Power Authority,Madera,30.57,"FR1, M1, RO1",WAT,1/1/1986 0:00,0.0,-119.7034413,36.99768642,4.18,1.37,0.0,20,0.0
1998,H0626,Quinten Luallen,0,Friant Power Authority,Madera,7.38,RO2,WAT,5/23/2017 0:00,0.0,-119.7070897,37.00246852,4.05,1.28,0.0,20,0.0
